Season,EventName,RoundNumber,Driver,Points,Position
2022,Bahrain Grand Prix,1,LEC,26.0,1.0
2022,Bahrain Grand Prix,1,SAI,18.0,2.0
2022,Bahrain Grand Prix,1,HAM,15.0,3.0
2022,Bahrain Grand Prix,1,RUS,12.0,4.0
2022,Bahrain Grand Prix,1,MAG,10.0,5.0
2022,Bahrain Grand Prix,1,BOT,8.0,6.0
2022,Bahrain Grand Prix,1,OCO,6.0,7.0
2022,Bahrain Grand Prix,1,TSU,4.0,8.0
2022,Bahrain Grand Prix,1,ALO,2.0,9.0
2022,Bahrain Grand Prix,1,ZHO,1.0,10.0
2022,Bahrain Grand Prix,1,MSC,0.0,11.0
2022,Bahrain Grand Prix,1,STR,0.0,12.0
2022,Bahrain Grand Prix,1,ALB,0.0,13.0
2022,Bahrain Grand Prix,1,RIC,0.0,14.0
2022,Bahrain Grand Prix,1,NOR,0.0,15.0
2022,Bahrain Grand Prix,1,LAT,0.0,16.0
2022,Bahrain Grand Prix,1,HUL,0.0,17.0
2022,Bahrain Grand Prix,1,PER,0.0,18.0
2022,Bahrain Grand Prix,1,VER,0.0,19.0
2022,Bahrain Grand Prix,1,GAS,0.0,20.0
2022,Saudi Arabian Grand Prix,2,VER,25.0,1.0
2022,Saudi Arabian Grand Prix,2,LEC,19.0,2.0
2022,Saudi Arabian Grand Prix,2,SAI,15.0,3.0
2022,Saudi Arabian Grand Prix,2,PER,12.0,4.0
2022,Saudi Arabian Grand Prix,2,RUS,10.0,5.0
2022,Saudi Arabian Grand Prix,2,OCO,8.0,6.0
2022,Saudi Arabian Grand Prix,2,NOR,6.0,7.0
2022,Saudi Arabian Grand Prix,2,GAS,4.0,8.0
2022,Saudi Arabian Grand Prix,2,MAG,2.0,9.0
2022,Saudi Arabian Grand Prix,2,HAM,1.0,10.0
2022,Saudi Arabian Grand Prix,2,ZHO,0.0,11.0
2022,Saudi Arabian Grand Prix,2,HUL,0.0,12.0
2022,Saudi Arabian Grand Prix,2,STR,0.0,13.0
2022,Saudi Arabian Grand Prix,2,ALB,0.0,14.0
2022,Saudi Arabian Grand Prix,2,BOT,0.0,15.0
2022,Saudi Arabian Grand Prix,2,ALO,0.0,16.0
2022,Saudi Arabian Grand Prix,2,RIC,0.0,17.0
2022,Saudi Arabian Grand Prix,2,LAT,0.0,18.0
2022,Saudi Arabian Grand Prix,2,TSU,0.0,19.0
2022,Saudi Arabian Grand Prix,2,MSC,0.0,
2022,Australian Grand Prix,3,LEC,26.0,1.0
2022,Australian Grand Prix,3,PER,18.0,2.0
2022,Australian Grand Prix,3,RUS,15.0,3.0
2022,Australian Grand Prix,3,HAM,12.0,4.0
2022,Australian Grand Prix,3,NOR,10.0,5.0
2022,Australian Grand Prix,3,RIC,8.0,6.0
